feature,importance
log_guard_bandwidth,22.11281967163086
guard_avg_bandwidth,19.76673698425293
guard_bandwidth,18.018388748168945
guard_fingerprint_encoded,17.10157012939453
guard_avg_bytes,16.70829200744629
guard_avg_setup_time,16.6809024810791
guard_stability_index,15.972488403320312
guard_usage_frequency,15.864581108093262
guard_country_encoded,14.853031158447266
min_bandwidth,2.774106979370117
guard_as_number,2.4911794662475586
max_bandwidth,2.061640739440918
bandwidth_setup_time_interaction,0.4534992575645447
guard_exit_cooccurrence_freq,0.20702987909317017
bandwidth_range,0.1608881950378418
guard_exit_bandwidth_product,0.13758648931980133
bandwidth_entropy,0.05941673740744591
guard_to_middle_bw_ratio,0.053908687084913254
guard_to_exit_bw_ratio,0.047799739986658096
exit_country_encoded,0.040599215775728226
exit_bandwidth,0.0303786750882864
total_circuit_bandwidth,0.029199423268437386
bandwidth_utilization,0.028443709015846252
hour_bandwidth_interaction,0.028411226347088814
avg_bandwidth,0.0263501089066267
middle_bandwidth,0.02622542530298233
as_path_length,0.023632682859897614
std_bandwidth,0.023084120824933052
country_diversity_bandwidth_interaction,0.02305740676820278
circuit_id,0.021389685571193695
bandwidth_cv,0.019607825204730034
circuit_setup_duration,0.019532769918441772
request_id,0.017820440232753754
total_bandwidth_bytes_interaction,0.01725546270608902
build_time_sec,0.01682576723396778
middle_avg_bandwidth,0.015986762940883636
exit_fingerprint_encoded,0.015903415158391
middle_country_encoded,0.015638645738363266
middle_usage_frequency,0.015436025336384773
bytes_to_bandwidth_ratio,0.015386318787932396
exit_as_number,0.015173187479376793
network_distance_estimate,0.015011061914265156
exit_usage_frequency,0.014890607446432114
cell_count_estimate,0.014063439331948757
hour_of_day,0.0139479273930192
total_bytes,0.012783409096300602
middle_to_exit_bw_ratio,0.012432411313056946
traffic_efficiency,0.012259239330887794
bytes_per_second,0.0121318269520998
circuit_setup_duration_ms,0.012126264162361622
circuits_per_hour_bucket,0.010800875723361969
time_since_last_circuit,0.010573276318609715
log_total_bytes,0.009598326869308949
exit_avg_bandwidth,0.006601214874535799
squared_setup_duration,0.004920170176774263
dummy_feature_69,0.0
dummy_feature_70,0.0
same_country_guard_middle,0.0
dummy_feature_71,0.0
dummy_feature_72,0.0
dummy_feature_73,0.0
exit_policy_match_score,0.0
country_diversity_score,0.0
relay_family_size,0.0
same_country_guard_exit,0.0
same_as_flag,0.0
same_country_middle_exit,0.0
all_same_country,0.0
day_of_week,0.0
is_weekend,0.0
is_night,0.0
guard_country_preference_score,0.0
exit_traffic_share,0.0
guard_traffic_share,0.0
dummy_feature_74,0.0
